schemaTuple,visited,timesVisited
querywebhook,True,4
querywebhookevents,True,1
querywebhooksamplepayload,True,12
querywarehouse,True,4
querywarehouses,True,12
querytranslations,True,12
querytranslation,True,24
querystock,True,2
querystocks,True,6
queryshop,True,31
queryshippingzone,True,4
queryshippingzones,True,1
querydigitalcontent,True,9
querydigitalcontents,True,1
queryattributes,True,75
queryattribute,True,9
querycategories,True,35
querycategory,True,40
querycollection,True,30
querycollections,True,28
queryproduct,True,46
queryproducts,True,117
queryproducttype,True,12
queryproducttypes,True,29
queryproductvariant,True,46
queryproductvariants,True,22
queryreportproductsales,True,2
querypayment,True,1
querypayments,True,2
querypage,True,8
querypages,True,16
queryhomepageevents,True,2
queryorder,True,26
queryorders,True,98
querydraftorders,True,46
queryorderstotal,True,2
queryorderbytoken,True,31
querymenu,True,8
querymenus,True,12
querymenuitem,True,4
querymenuitems,True,8
querygiftcard,True,6
querygiftcards,True,1
queryplugin,True,2
queryplugins,True,10
querysale,True,1
querysales,True,35
queryvoucher,True,2
queryvouchers,True,45
queryexportfile,True,4
queryexportfiles,True,12
querytaxtypes,False,0
querycheckout,True,41
querycheckouts,True,1
querycheckoutline,True,1
querycheckoutlines,True,1
queryappsinstallations,True,2
queryapps,True,15
queryapp,True,11
queryaddressvalidationrules,True,3
queryaddress,True,5
querycustomers,True,56
querypermissiongroups,True,10
querypermissiongroup,True,5
queryme,True,13
querystaffusers,True,31
queryuser,True,37
query_entities,True,2
query_service,False,0
webhookname,True,8
webhooktargeturl,False,0
webhookisactive,True,7
webhooksecretkey,False,0
webhookid,True,12
webhookevents,True,7
webhookapp,False,0
nodeid,False,0
webhookeventeventtype,True,8
webhookeventname,True,1
serviceaccountid,False,0
serviceaccountname,False,0
serviceaccountcreated,False,0
serviceaccountisactive,False,0
serviceaccountpermissions,False,0
serviceaccounttokens,False,0
serviceaccountprivatemetadata,False,0
serviceaccountmetadata,False,0
objectwithmetadataprivatemetadata,True,51
objectwithmetadatametadata,True,50
metadataitemkey,True,220
metadataitemvalue,True,220
metastorenamespace,False,0
metastoreclients,False,0
metaclientstorename,False,0
metaclientstoremetadata,False,0
metaitemkey,False,0
metaitemvalue,False,0
permissioncode,True,91
permissionname,True,71
serviceaccounttokenname,False,0
serviceaccounttokenauthtoken,False,0
serviceaccounttokenid,False,0
appid,True,33
appname,True,59
appcreated,True,3
appisactive,True,29
apppermissions,True,18
apptokens,True,18
appprivatemetadata,True,4
appmetadata,True,4
apptype,True,8
appwebhooks,True,8
appaboutapp,True,8
appdataprivacy,True,8
appdataprivacyurl,True,8
apphomepageurl,True,8
appsupporturl,True,8
appconfigurationurl,True,8
appappurl,True,8
appversion,False,0
appaccesstoken,True,3
apptokenname,True,9
apptokenauthtoken,True,27
apptokenid,True,5
webhookcountableconnectionpageinfo,False,0
webhookcountableconnectionedges,False,0
webhookcountableconnectiontotalcount,False,0
pageinfohasnextpage,True,267
pageinfohaspreviouspage,True,265
pageinfostartcursor,True,265
pageinfoendcursor,True,266
webhookcountableedgenode,False,0
webhookcountableedgecursor,False,0
warehouseid,True,25
warehousename,True,55
warehouseslug,True,63
warehousecompanyname,True,32
warehouseshippingzones,True,5
warehouseaddress,True,26
warehouseemail,True,11
shippingzonecountableconnectionpageinfo,False,0
shippingzonecountableconnectionedges,True,6
shippingzonecountableconnectiontotalcount,True,1
shippingzonecountableedgenode,True,6
shippingzonecountableedgecursor,False,0
shippingzoneid,True,15
shippingzonename,True,22
shippingzonedefault,True,5
shippingzonepricerange,True,2
shippingzonecountries,True,10
shippingzoneshippingmethods,True,4
shippingzonewarehouses,True,14
moneyrangestart,True,3
moneyrangestop,True,3
moneycurrency,True,248
moneyamount,True,468
countrydisplaycode,True,73
countrydisplaycountry,True,55
countrydisplayvat,True,2
vatcountrycode,False,0
vatstandardrate,True,2
vatreducedrates,True,1
reducedraterate,True,1
reducedrateratetype,True,1
shippingmethodid,True,28
shippingmethodname,True,38
shippingmethodprice,True,37
shippingmethodminimumorderprice,True,9
shippingmethodmaximumorderprice,True,7
shippingmethodminimumorderweight,True,7
shippingmethodmaximumorderweight,True,7
shippingmethodtype,True,10
shippingmethodtranslation,True,4
weightunit,True,50
weightvalue,True,50
shippingmethodtranslationid,False,0
shippingmethodtranslationname,True,6
shippingmethodtranslationlanguage,True,4
languagedisplaycode,True,52
languagedisplaylanguage,True,12
addressid,True,91
addressfirstname,True,71
addresslastname,True,71
addresscompanyname,True,48
addressstreetaddress1,True,85
addressstreetaddress2,True,84
addresscity,True,73
addresscityarea,True,19
addresspostalcode,True,59
addresscountry,True,55
addresscountryarea,True,48
addressphone,True,71
addressisdefaultshippingaddress,True,44
addressisdefaultbillingaddress,True,44
warehousecountableconnectionpageinfo,True,5
warehousecountableconnectionedges,True,12
warehousecountableconnectiontotalcount,True,7
warehousecountableedgenode,True,12
warehousecountableedgecursor,False,0
translatableitemconnectionpageinfo,False,0
translatableitemconnectionedges,True,12
translatableitemconnectiontotalcount,False,0
translatableitemedgenode,True,12
translatableitemedgecursor,False,0
producttranslatablecontentid,True,3
producttranslatablecontentseotitle,False,0
producttranslatablecontentseodescription,False,0
producttranslatablecontentname,True,4
producttranslatablecontentdescription,False,0
producttranslatablecontentdescriptionjson,False,0
producttranslatablecontenttranslation,True,4
producttranslatablecontentproduct,True,3
producttranslationid,True,8
producttranslationseotitle,True,8
producttranslationseodescription,True,8
producttranslationname,True,16
producttranslationdescription,False,0
producttranslationdescriptionjson,True,8
producttranslationlanguage,True,12
productid,True,203
productseotitle,True,19
productseodescription,True,19
productname,True,206
productdescription,True,2
productdescriptionjson,True,26
productpublicationdate,True,10
productproducttype,True,57
productslug,True,39
productcategory,True,52
productupdatedat,True,10
productchargetaxes,True,8
productweight,True,26
productavailableforpurchase,True,27
productvisibleinlistings,True,18
productdefaultvariant,True,3
productprivatemetadata,True,4
productmetadata,True,4
productthumbnail,True,170
productpricing,True,55
productisavailable,True,21
productminimalvariantprice,True,1
producttaxtype,True,8
productattributes,True,43
productpurchasecost,True,2
productmargin,True,2
productimagebyid,True,1
productvariants,True,25
productimages,True,12
productcollections,True,2
producttranslation,True,12
productisavailableforpurchase,True,27
productispublished,True,30
producttypeid,True,73
producttypename,True,81
producttypeslug,True,18
producttypehasvariants,True,14
producttypeisshippingrequired,True,36
producttypeisdigital,False,0
producttypeweight,True,1
producttypeprivatemetadata,True,4
producttypemetadata,True,4
producttypeproducts,True,2
producttypetaxrate,True,8
producttypetaxtype,True,1
producttypevariantattributes,True,24
producttypeproductattributes,True,24
producttypeavailableattributes,True,2
productcountableconnectionpageinfo,True,60
productcountableconnectionedges,True,149
productcountableconnectiontotalcount,True,64
productcountableedgenode,True,149
productcountableedgecursor,True,1
taxtypedescription,True,9
taxtypetaxcode,True,9
attributeid,True,140
attributeproducttypes,True,10
attributeproductvarianttypes,False,0
attributeprivatemetadata,True,4
attributemetadata,True,4
attributeinputtype,False,0
attributename,True,157
attributeslug,True,118
attributevalues,True,61
attributevaluerequired,True,1
attributevisibleinstorefront,True,1
attributefilterableinstorefront,True,1
attributefilterableindashboard,True,1
attributeavailableingrid,True,1
attributetranslation,True,4
attributestorefrontsearchposition,True,1
producttypecountableconnectionpageinfo,True,12
producttypecountableconnectionedges,True,39
producttypecountableconnectiontotalcount,True,1
producttypecountableedgenode,True,39
producttypecountableedgecursor,False,0
attributevalueid,True,87
attributevaluename,True,174
attributevalueslug,True,62
attributevaluetranslation,True,5
attributevalueinputtype,True,1
attributevaluetranslationid,True,1
attributevaluetranslationname,True,6
attributevaluetranslationlanguage,True,4
attributetranslationid,True,1
attributetranslationname,True,5
attributetranslationlanguage,True,3
attributecountableconnectionpageinfo,True,15
attributecountableconnectionedges,True,77
attributecountableconnectiontotalcount,True,4
attributecountableedgenode,True,77
attributecountableedgecursor,False,0
categoryseotitle,True,17
categoryseodescription,True,17
categoryid,True,129
categoryname,True,184
categorydescription,True,7
categorydescriptionjson,True,9
categoryslug,True,20
categoryparent,True,10
categorylevel,False,0
categoryprivatemetadata,True,4
categorymetadata,True,4
categoryancestors,True,25
categoryproducts,True,31
categorychildren,True,20
categorybackgroundimage,True,27
categorytranslation,True,5
categorycountableconnectionpageinfo,True,20
categorycountableconnectionedges,True,71
categorycountableconnectiontotalcount,True,14
categorycountableedgenode,True,71
categorycountableedgecursor,False,0
imageurl,True,218
imagealt,True,98
categorytranslationseotitle,True,1
categorytranslationseodescription,True,1
categorytranslationid,True,1
categorytranslationname,True,6
categorytranslationdescription,False,0
categorytranslationdescriptionjson,True,1
categorytranslationlanguage,True,5
productvariantid,True,127
productvariantname,True,80
productvariantsku,True,100
productvariantproduct,True,46
productvarianttrackinventory,True,6
productvariantweight,True,9
productvariantprivatemetadata,True,4
productvariantmetadata,True,4
productvariantprice,True,30
productvariantpricing,True,52
productvariantattributes,True,54
productvariantcostprice,True,14
productvariantmargin,True,1
productvariantquantityordered,True,3
productvariantrevenue,True,2
productvariantimages,True,11
productvarianttranslation,True,4
productvariantdigitalcontent,True,2
productvariantstocks,True,37
productvariantquantityavailable,True,53
variantpricinginfoonsale,True,48
variantpricinginfodiscount,True,1
variantpricinginfodiscountlocalcurrency,True,2
variantpricinginfoprice,True,50
variantpricinginfopriceundiscounted,True,52
variantpricinginfopricelocalcurrency,True,2
taxedmoneycurrency,True,34
taxedmoneygross,True,229
taxedmoneynet,True,82
taxedmoneytax,False,0
selectedattributeattribute,True,95
selectedattributevalues,True,90
productimageid,True,24
productimagesortorder,False,0
productimagealt,True,21
productimageurl,True,24
productvarianttranslationid,False,0
productvarianttranslationname,True,7
productvarianttranslationlanguage,True,4
digitalcontentusedefaultsettings,False,0
digitalcontentautomaticfulfillment,True,2
digitalcontentproductvariant,False,0
digitalcontentcontentfile,True,3
digitalcontentmaxdownloads,True,2
digitalcontenturlvaliddays,True,2
digitalcontenturls,False,0
digitalcontentid,True,7
digitalcontentprivatemetadata,True,4
digitalcontentmetadata,True,4
digitalcontenturlcontent,False,0
digitalcontenturlcreated,False,0
digitalcontenturldownloadnum,False,0
digitalcontenturlid,True,1
digitalcontenturlurl,True,1
digitalcontenturltoken,False,0
stockwarehouse,True,39
stockproductvariant,True,3
stockquantity,True,39
stockid,True,20
stockquantityallocated,True,15
productpricinginfoonsale,True,34
productpricinginfodiscount,True,1
productpricinginfodiscountlocalcurrency,False,0
productpricinginfopricerange,True,47
productpricinginfopricerangeundiscounted,True,52
productpricinginfopricerangelocalcurrency,True,1
taxedmoneyrangestart,True,100
taxedmoneyrangestop,True,79
marginstart,True,1
marginstop,True,1
collectionseotitle,True,4
collectionseodescription,True,4
collectionid,True,35
collectionname,True,64
collectiondescription,True,8
collectiondescriptionjson,True,7
collectionpublicationdate,True,10
collectionslug,True,22
collectionprivatemetadata,True,4
collectionmetadata,True,4
collectionproducts,True,30
collectionbackgroundimage,True,12
collectiontranslation,True,5
collectionispublished,True,16
collectiontranslationseotitle,True,1
collectiontranslationseodescription,True,1
collectiontranslationid,True,1
collectiontranslationname,True,8
collectiontranslationdescription,False,0
collectiontranslationdescriptionjson,True,1
collectiontranslationlanguage,True,5
collectiontranslatablecontentseotitle,False,0
collectiontranslatablecontentseodescription,False,0
collectiontranslatablecontentid,True,3
collectiontranslatablecontentname,True,3
collectiontranslatablecontentdescription,False,0
collectiontranslatablecontentdescriptionjson,False,0
collectiontranslatablecontenttranslation,True,3
collectiontranslatablecontentcollection,True,3
categorytranslatablecontentseotitle,False,0
categorytranslatablecontentseodescription,False,0
categorytranslatablecontentid,True,1
categorytranslatablecontentname,True,1
categorytranslatablecontentdescription,False,0
categorytranslatablecontentdescriptionjson,False,0
categorytranslatablecontenttranslation,True,1
categorytranslatablecontentcategory,True,1
attributetranslatablecontentid,True,1
attributetranslatablecontentname,True,1
attributetranslatablecontenttranslation,True,1
attributetranslatablecontentattribute,True,1
attributevaluetranslatablecontentid,True,1
attributevaluetranslatablecontentname,True,1
attributevaluetranslatablecontenttranslation,True,1
attributevaluetranslatablecontentattributevalue,True,1
productvarianttranslatablecontentid,True,3
productvarianttranslatablecontentname,True,3
productvarianttranslatablecontenttranslation,True,3
productvarianttranslatablecontentproductvariant,True,3
pagetranslatablecontentseotitle,False,0
pagetranslatablecontentseodescription,False,0
pagetranslatablecontentid,True,3
pagetranslatablecontenttitle,True,3
pagetranslatablecontentcontent,False,0
pagetranslatablecontentcontentjson,False,0
pagetranslatablecontenttranslation,True,5
pagetranslatablecontentpage,True,3
pagetranslationseotitle,False,0
pagetranslationseodescription,False,0
pagetranslationid,False,0
pagetranslationtitle,True,7
pagetranslationcontent,False,0
pagetranslationcontentjson,False,0
pagetranslationlanguage,True,4
pageseotitle,False,0
pageseodescription,False,0
pageid,True,26
pagetitle,True,28
pagecontent,True,3
pagecontentjson,True,3
pagepublicationdate,True,7
pageslug,True,15
pagecreated,False,0
pageprivatemetadata,False,0
pagemetadata,False,0
pagetranslation,True,2
pageispublished,True,9
shippingmethodtranslatablecontentid,True,2
shippingmethodtranslatablecontentname,True,2
shippingmethodtranslatablecontenttranslation,True,2
shippingmethodtranslatablecontentshippingmethod,True,2
saletranslatablecontentid,True,2
saletranslatablecontentname,True,2
saletranslatablecontenttranslation,True,2
saletranslatablecontentsale,True,2
saletranslationid,False,0
saletranslationname,True,4
saletranslationlanguage,True,2
saleid,True,18
salename,True,39
saletype,True,3
salevalue,True,2
salestartdate,True,14
saleenddate,True,1
salecategories,False,0
salecollections,False,0
saleproducts,False,0
saletranslation,True,2
collectioncountableconnectionpageinfo,True,12
collectioncountableconnectionedges,True,28
collectioncountableconnectiontotalcount,False,0
collectioncountableedgenode,True,28
collectioncountableedgecursor,False,0
vouchertranslatablecontentid,True,2
vouchertranslatablecontentname,True,2
vouchertranslatablecontenttranslation,True,2
vouchertranslatablecontentvoucher,True,2
vouchertranslationid,False,0
vouchertranslationname,True,6
vouchertranslationlanguage,True,4
voucherid,True,17
vouchername,True,53
vouchertype,True,6
vouchercode,True,10
voucherusagelimit,True,1
voucherused,True,1
voucherstartdate,True,20
voucherenddate,True,5
voucherapplyonceperorder,True,6
voucherapplyoncepercustomer,True,6
voucherdiscountvaluetype,True,7
voucherdiscountvalue,True,1
voucherminspent,True,5
vouchermincheckoutitemsquantity,True,6
vouchercategories,False,0
vouchercollections,False,0
voucherproducts,False,0
vouchercountries,True,1
vouchertranslation,True,4
menuitemtranslatablecontentid,True,3
menuitemtranslatablecontentname,True,3
menuitemtranslatablecontenttranslation,True,3
menuitemtranslatablecontentmenuitem,True,3
menuitemtranslationid,False,0
menuitemtranslationname,True,6
menuitemtranslationlanguage,True,3
menuitemid,True,44
menuitemname,True,18
menuitemmenu,True,1
menuitemparent,True,15
menuitemcategory,True,4
menuitemcollection,True,3
menuitempage,True,5
menuitemlevel,False,0
menuitemchildren,True,15
menuitemurl,True,6
menuitemtranslation,True,3
menuid,True,16
menuname,True,31
menuslug,True,15
menuitems,True,8
stockcountableconnectionpageinfo,False,0
stockcountableconnectionedges,True,6
stockcountableconnectiontotalcount,True,6
stockcountableedgenode,True,6
stockcountableedgecursor,False,0
shopavailablepaymentgateways,True,3
shopgeolocalization,True,2
shopauthorizationkeys,True,1
shopcountries,True,7
shopdefaultcountry,True,4
shopdefaultmailsendername,True,14
shopdefaultmailsenderaddress,True,14
shopdescription,True,2
shopdomain,True,3
shoplanguages,True,2
shopname,True,4
shoppermissions,True,2
shopphoneprefixes,False,0
shopheadertext,True,1
shopincludetaxesinprices,True,2
shopdisplaygrossprices,True,1
shopchargetaxesonshipping,True,2
shoptrackinventorybydefault,True,1
shopdefaultweightunit,True,1
shoptranslation,True,2
shopautomaticfulfillmentdigitalproducts,True,2
shopdefaultdigitalmaxdownloads,True,2
shopdefaultdigitalurlvaliddays,True,2
shopcompanyaddress,True,1
shopcustomersetpasswordurl,True,4
shopstaffnotificationrecipients,True,1
paymentgatewayname,True,29
paymentgatewayid,True,29
paymentgatewayconfig,True,26
paymentgatewaycurrencies,True,19
gatewayconfiglinefield,True,26
gatewayconfiglinevalue,True,26
geolocalizationcountry,True,2
authorizationkeyname,True,3
authorizationkeykey,True,3
domainhost,True,3
domainsslenabled,True,1
domainurl,True,2
navigationmain,False,0
navigationsecondary,False,0
shoptranslationid,False,0
shoptranslationheadertext,True,2
shoptranslationdescription,False,0
shoptranslationlanguage,True,2
staffnotificationrecipientuser,True,9
staffnotificationrecipientactive,True,9
staffnotificationrecipientid,False,0
staffnotificationrecipientemail,True,9
userid,True,161
userlastlogin,True,5
useremail,True,185
userfirstname,True,114
userlastname,True,68
userisstaff,True,23
userisactive,True,30
usernote,True,7
userdatejoined,True,5
userdefaultshippingaddress,True,17
userdefaultbillingaddress,True,17
userprivatemetadata,True,5
usermetadata,True,5
useraddresses,True,6
usercheckout,True,2
usergiftcards,True,1
userorders,True,7
useruserpermissions,True,34
userpermissiongroups,True,23
usereditablegroups,True,4
useravatar,True,21
userevents,True,12
userstoredpaymentsources,True,2
checkoutcreated,False,0
checkoutlastchange,False,0
checkoutuser,True,4
checkoutquantity,False,0
checkoutbillingaddress,True,23
checkoutshippingaddress,True,23
checkoutshippingmethod,True,23
checkoutnote,False,0
checkoutdiscount,True,23
checkoutdiscountname,True,23
checkouttranslateddiscountname,True,23
checkoutvouchercode,True,45
checkoutgiftcards,True,25
checkoutid,True,98
checkoutprivatemetadata,True,5
checkoutmetadata,True,5
checkoutavailableshippingmethods,True,29
checkoutavailablepaymentgateways,True,26
checkoutemail,True,47
checkoutisshippingrequired,True,24
checkoutlines,True,67
checkoutshippingprice,True,23
checkoutsubtotalprice,True,26
checkouttoken,True,96
checkouttotalprice,True,43
giftcardcode,True,3
giftcarduser,True,15
giftcardcreated,True,9
giftcardstartdate,True,9
giftcardenddate,True,9
giftcardlastusedon,True,9
giftcardisactive,True,15
giftcardinitialbalance,True,9
giftcardcurrentbalance,True,15
giftcardid,True,32
giftcarddisplaycode,True,43
checkoutlineid,True,26
checkoutlinevariant,True,43
checkoutlinequantity,True,72
checkoutlinetotalprice,True,26
checkoutlinerequiresshipping,False,0
giftcardcountableconnectionpageinfo,False,0
giftcardcountableconnectionedges,True,2
